X1,X2,X3,X4,X5,X6,X7,y
561,621,725,634,93,429,278,9.73
550,625,742,649,91,443,296,9.46
561,639,763,658,94,461,321,11.02
557,650,766,676,98,474,325,10.73
748,752,815,674,89,95,121,13.38
729,753,815,660,88,94,138,13.46
726,767,1083,718,70,26,33,4.74
663,775,860,755,115,564,452,9.52
749,780,827,678,95,93,148,11.51
744,790,1122,729,75,33,42,3.95
711,806,858,737,113,480,314,8.57
745,811,1177,751,62,20,25,4.75
752,813,1187,755,62,21,21,4.75
749,814,1161,751,60,20,21,4.86
745,816,1173,748,64,30,44,3.48
750,820,1166,752,61,20,21,4.87
758,823,1157,774,60,18,18,4.4
751,832,1189,779,60,19,18,4.22
760,832,1163,758,58,20,20,4.87
751,832,1184,766,64,24,30,4.45
762,835,1157,754,62,27,38,5.14
789,840,896,745,105,100,141,15.21
757,841,1190,774,62,24,28,5.26
786,842,903,762,108,112,167,12.38
747,844,921,792,116,468,300,9.15
776,845,1174,763,64,24,32,4.57
785,846,1176,771,68,31,45,3.57
772,849,1171,777,62,24,29,5.05
778,850,1219,792,66,26,35,4.84
770,853,1205,785,65,27,34,5.13
781,853,1160,773,62,25,33,4.43
775,855,1193,787,64,26,34,3.51
793,866,987,771,65,115,179,15.46
767,881,997,863,127,526,378,5.06
815,898,1004,847,127,138,226,14.07
860,906,1021,823,218,115,352,4.43
752,911,1128,858,158,349,278,8.76
756,916,1146,869,185,358,290,8.84
834,917,1027,860,124,129,191,15.42
771,919,1110,880,129,348,279,8.99
755,926,1150,854,146,377,300,7.44
760,928,1181,845,166,416,337,7.07
759,930,1127,872,162,364,292,8.47
769,932,1161,882,203,377,300,8.52
769,935,1159,893,184,367,298,8.47
778,940,1153,896,182,375,304,8.48
819,944,1398,893,62,28,44,7.12
764,945,1196,858,173,410,332,7.28
781,946,1126,920,110,334,268,8.78
862,947,1030,887,132,128,208,12.05
855,947,1070,857,76,129,194,15.2
794,949,1187,886,148,382,310,7.44
785,956,1176,879,170,389,312,7.47
792,956,1139,914,142,367,294,8.39
799,962,1197,921,192,389,315,7.81
788,965,1213,871,216,459,380,8.47
805,965,1178,926,235,413,336,8.13
794,966,1224,894,209,430,349,7.18
797,971,1231,889,206,436,360,6.97
811,975,1251,856,336,526,427,8.36
763,975,1242,1116,259,907,777,6.74
809,977,1169,960,110,331,261,8.78
800,980,1178,944,102,327,260,8.49
822,983,1221,900,224,433,363,8.89
809,985,1241,903,232,467,385,7.24
799,986,1179,949,104,330,260,8.75
812,990,1242,903,230,466,388,7.7
827,990,1220,923,207,426,347,7.48
815,994,1199,958,97,324,257,8.6
814,996,1240,913,216,449,371,7.12
822,996,1222,918,220,440,362,7.38
822,996,1224,928,209,431,353,7.45
864,1000,1076,930,85,128,201,15.71
827,1001,1260,907,318,530,432,8.93
820,1001,1249,916,244,480,395,7.84
869,1002,1210,1002,79,95,143,18.2
821,1005,1268,932,258,490,408,7.65
